lsoa11_code,lsoa11_name,pop2011
E01000001, City of London 001A,1465
E01000002, City of London 001B,1436
E01000003, City of London 001C,1346
E01000005, City of London 001E,985
E01000006, Barking and Dagenham 016A,1703
E01000007, Barking and Dagenham 015A,1391
E01000008, Barking and Dagenham 015B,1544
E01000009, Barking and Dagenham 016B,1773
E01000010, Barking and Dagenham 015C,2840
E01000011, Barking and Dagenham 016C,1634
E01000012, Barking and Dagenham 015D,1901
E01000013, Barking and Dagenham 013A,1660
E01000014, Barking and Dagenham 013B,1656
E01000015, Barking and Dagenham 009A,2241
E01000016, Barking and Dagenham 009B,1637
E01000017, Barking and Dagenham 009C,1594
E01000018, Barking and Dagenham 009D,1597
E01000019, Barking and Dagenham 023A,1407
E01000020, Barking and Dagenham 023B,1834
E01000021, Barking and Dagenham 008A,1579
E01000022, Barking and Dagenham 008B,1314
E01000023, Barking and Dagenham 008C,1112
E01000024, Barking and Dagenham 008D,1336
E01000025, Barking and Dagenham 008E,1609
E01000027, Barking and Dagenham 001A,1709
E01000028, Barking and Dagenham 001B,1549
E01000029, Barking and Dagenham 001C,1602
E01000030, Barking and Dagenham 001D,1915
E01000031, Barking and Dagenham 002A,1617
E01000032, Barking and Dagenham 002B,1629
E01000033, Barking and Dagenham 006A,1361
E01000034, Barking and Dagenham 003A,1444
E01000035, Barking and Dagenham 010A,1610
E01000036, Barking and Dagenham 010B,1353
E01000037, Barking and Dagenham 003B,1688
E01000038, Barking and Dagenham 003C,1447
E01000039, Barking and Dagenham 003D,1603
E01000040, Barking and Dagenham 019A,1569
E01000041, Barking and Dagenham 017A,1682
E01000042, Barking and Dagenham 017B,1788
E01000043, Barking and Dagenham 019B,1358
E01000044, Barking and Dagenham 016D,1798
E01000045, Barking and Dagenham 017C,1650
E01000046, Barking and Dagenham 017D,1779
E01000048, Barking and Dagenham 021B,1783
E01000049, Barking and Dagenham 021C,1820
E01000050, Barking and Dagenham 019C,1661
E01000051, Barking and Dagenham 021D,1927
E01000052, Barking and Dagenham 019D,2014
E01000053, Barking and Dagenham 020A,1485
E01000054, Barking and Dagenham 018A,1718
E01000055, Barking and Dagenham 018B,1553
E01000056, Barking and Dagenham 018C,1584
E01000057, Barking and Dagenham 012A,1496
E01000058, Barking and Dagenham 018D,1849
E01000059, Barking and Dagenham 013C,1582
E01000060, Barking and Dagenham 006B,1809
E01000061, Barking and Dagenham 006C,1776
E01000062, Barking and Dagenham 006D,1952
E01000063, Barking and Dagenham 004A,1620
E01000064, Barking and Dagenham 006E,1893
E01000065, Barking and Dagenham 007A,1736
E01000066, Barking and Dagenham 011A,1928
E01000067, Barking and Dagenham 011B,1969
E01000068, Barking and Dagenham 016E,1590
E01000069, Barking and Dagenham 011C,1763
E01000070, Barking and Dagenham 011D,1975
E01000071, Barking and Dagenham 011E,2253
E01000072, Barking and Dagenham 017E,1991
E01000073, Barking and Dagenham 012B,1619
E01000074, Barking and Dagenham 012C,1567
E01000075, Barking and Dagenham 012D,1732
E01000076, Barking and Dagenham 012E,1988
E01000077, Barking and Dagenham 008F,1445
E01000078, Barking and Dagenham 007B,1666
E01000079, Barking and Dagenham 009E,1546
E01000080, Barking and Dagenham 007C,1556
E01000081, Barking and Dagenham 007D,1688
E01000082, Barking and Dagenham 007E,1683
E01000083, Barking and Dagenham 007F,1700
E01000084, Barking and Dagenham 013D,1355
E01000085, Barking and Dagenham 013E,1718
E01000086, Barking and Dagenham 013F,1431
E01000087, Barking and Dagenham 020B,1341
E01000088, Barking and Dagenham 020C,1828
E01000089, Barking and Dagenham 020D,1666
E01000090, Barking and Dagenham 020E,1584
E01000091, Barking and Dagenham 022A,1714
E01000092, Barking and Dagenham 019E,2674
E01000093, Barking and Dagenham 022B,1547
E01000094, Barking and Dagenham 022C,1326
E01000095, Barking and Dagenham 018E,1572
E01000096, Barking and Dagenham 022D,1895
E01000097, Barking and Dagenham 023C,1683
E01000098, Barking and Dagenham 023D,1746
E01000099, Barking and Dagenham 023E,1732
E01000100, Barking and Dagenham 004B,1653
E01000101, Barking and Dagenham 004C,1513
E01000102, Barking and Dagenham 007G,1540
E01000103, Barking and Dagenham 014A,1685
E01000104, Barking and Dagenham 014B,1781
E01000105, Barking and Dagenham 014C,2129
E01000106, Barking and Dagenham 014D,1968
E01000107, Barking and Dagenham 010C,1666
E01000108, Barking and Dagenham 010D,1558
E01000109, Barking and Dagenham 004D,1686
E01000110, Barking and Dagenham 002C,1416
E01000111, Barking and Dagenham 002D,1833
E01000112, Barking and Dagenham 002E,1871
E01000113, Barking and Dagenham 002F,1679
E01000114, Barking and Dagenham 004E,2090
E01000115, Barnet 009A,1484
E01000116, Barnet 009B,1718
E01000117, Barnet 010A,1819
E01000118, Barnet 010B,1936
E01000119, Barnet 009C,1680
E01000120, Barnet 009D,1504
E01000121, Barnet 010C,1497
E01000122, Barnet 009E,1471
E01000123, Barnet 010D,1664
E01000124, Barnet 010E,1621
E01000125, Barnet 024A,2779
E01000126, Barnet 026A,2162
E01000127, Barnet 024B,1505
E01000128, Barnet 024C,1869
E01000129, Barnet 024D,1782
E01000130, Barnet 021A,1603
E01000131, Barnet 024E,1806
E01000132, Barnet 021B,1478
E01000133, Barnet 021C,1601
E01000134, Barnet 024F,1632
E01000135, Barnet 038A,1564
E01000136, Barnet 038B,1532
E01000137, Barnet 041A,1729
E01000138, Barnet 040A,1449
E01000139, Barnet 041B,1429
E01000140, Barnet 041C,1631
E01000141, Barnet 039A,2104
E01000142, Barnet 040B,2381
E01000143, Barnet 041D,1459
E01000144, Barnet 038C,1538
E01000145, Barnet 037A,1517
E01000146, Barnet 038D,1716
E01000147, Barnet 030A,1734
E01000148, Barnet 030B,1873
E01000150, Barnet 036A,2060
E01000151, Barnet 026B,1711
E01000152, Barnet 026C,1729
E01000153, Barnet 026D,1541
E01000154, Barnet 026E,1360
E01000155, Barnet 030D,1880
E01000156, Barnet 022A,1875
E01000157, Barnet 022B,1541
E01000158, Barnet 015A,1470
E01000159, Barnet 015B,1777
E01000160, Barnet 015C,2061
E01000161, Barnet 015D,1821
E01000162, Barnet 015E,1599
E01000163, Barnet 022C,1558
E01000164, Barnet 022D,1686
E01000165, Barnet 022E,1862
E01000166, Barnet 003A,1582
E01000167, Barnet 002A,1307
E01000168, Barnet 003B,1564
E01000169, Barnet 003C,1490
E01000170, Barnet 006A,1636
E01000171, Barnet 006B,1849
E01000172, Barnet 003D,1677
E01000173, Barnet 006C,1719
E01000174, Barnet 006D,1728
E01000175, Barnet 006E,1585
E01000176, Barnet 027A,1613
E01000177, Barnet 029A,1628
E01000178, Barnet 027B,1791
E01000179, Barnet 029B,1614
E01000180, Barnet 029C,1607
E01000181, Barnet 029D,1711
E01000182, Barnet 029E,1691
E01000183, Barnet 033A,1473
E01000184, Barnet 027C,1414
E01000185, Barnet 029F,1447
E01000186, Barnet 014A,1612
E01000187, Barnet 014B,1657
E01000188, Barnet 014C,1554
E01000189, Barnet 014D,1814
E01000190, Barnet 014E,1579
E01000191, Barnet 014F,1525
E01000192, Barnet 018A,1850
E01000193, Barnet 018B,1709
E01000194, Barnet 018C,1640
E01000195, Barnet 013A,1788
E01000196, Barnet 028A,1802
E01000197, Barnet 023A,1830
E01000198, Barnet 025A,1893
E01000199, Barnet 025B,1617
E01000200, Barnet 028B,1845
E01000201, Barnet 028C,1531
E01000202, Barnet 028D,1751
E01000203, Barnet 028E,1718
E01000204, Barnet 025C,1728
E01000205, Barnet 035A,1522
E01000206, Barnet 033B,1576
E01000207, Barnet 033C,1583
E01000208, Barnet 033D,1594
E01000209, Barnet 035B,1563
E01000210, Barnet 033E,1548
E01000211, Barnet 035C,2014
E01000212, Barnet 035D,1428
E01000213, Barnet 033F,1438
E01000214, Barnet 038E,1663
E01000215, Barnet 037B,2033
E01000216, Barnet 035E,1968
E01000217, Barnet 035F,1725
E01000218, Barnet 037C,1818
E01000219, Barnet 037D,1905
E01000220, Barnet 037E,1871
E01000221, Barnet 039B,1294
E01000222, Barnet 040C,1582
E01000223, Barnet 039C,1287
E01000224, Barnet 040D,1559
E01000225, Barnet 037F,1776
E01000226, Barnet 018D,1758
E01000227, Barnet 018E,1854
E01000228, Barnet 007A,1481
E01000229, Barnet 013B,1667
E01000230, Barnet 013C,1785
E01000231, Barnet 013D,1849
E01000232, Barnet 013E,1837
E01000233, Barnet 013F,1817
E01000234, Barnet 021D,1701
E01000235, Barnet 021E,1688
E01000236, Barnet 034A,1860
E01000237, Barnet 032A,2038
E01000238, Barnet 034B,1963
E01000239, Barnet 031A,1970
E01000240, Barnet 031B,1670
E01000241, Barnet 031C,1744
E01000242, Barnet 032B,1656
E01000243, Barnet 032C,1884
E01000244, Barnet 032D,1705
E01000245, Barnet 032E,1982
E01000246, Barnet 002B,1503
E01000247, Barnet 002C,1691
E01000248, Barnet 001A,1661
E01000249, Barnet 001B,1525
E01000250, Barnet 001C,2232
E01000251, Barnet 002D,1846
E01000252, Barnet 002E,1609
E01000253, Barnet 007B,1691
E01000254, Barnet 001D,1549
E01000255, Barnet 017A,1481
E01000256, Barnet 016A,1788
E01000257, Barnet 017B,1855
E01000258, Barnet 016B,1658
E01000259, Barnet 025D,2597
E01000260, Barnet 025E,1982
E01000261, Barnet 017C,1601
E01000262, Barnet 017D,2260
E01000263, Barnet 016C,1581
E01000264, Barnet 016D,1648
E01000265, Barnet 011A,1927
E01000266, Barnet 011B,1527
E01000267, Barnet 005A,1520
E01000268, Barnet 005B,1739
E01000269, Barnet 005C,1425
E01000270, Barnet 005D,1482
E01000271, Barnet 008A,1469
E01000272, Barnet 008B,1340
E01000273, Barnet 008C,1520
E01000274, Barnet 011C,1862
E01000275, Barnet 012A,1637
E01000276, Barnet 020A,1520
E01000277, Barnet 012B,1591
E01000278, Barnet 020B,1514
E01000279, Barnet 007C,1449
E01000280, Barnet 007D,1381
E01000281, Barnet 008D,1260
E01000282, Barnet 008E,1705
E01000283, Barnet 012C,1430
E01000284, Barnet 012D,1672
E01000285, Barnet 004A,1449
E01000286, Barnet 007E,1571
E01000287, Barnet 004B,1589
E01000288, Barnet 004C,1569
E01000289, Barnet 004D,1817
E01000290, Barnet 007F,1557
E01000291, Barnet 004E,1575
E01000292, Barnet 001E,1467
E01000293, Barnet 001F,1722
E01000294, Barnet 004F,1599
E01000295, Barnet 023B,1714
E01000296, Barnet 023C,1707
E01000297, Barnet 027D,1434
E01000298, Barnet 023D,1812
E01000299, Barnet 019A,1809
E01000300, Barnet 019B,1632
E01000301, Barnet 020C,1539
E01000302, Barnet 019C,1763
E01000303, Barnet 020D,1567
E01000304, Barnet 020E,1556
E01000305, Barnet 036B,1657
E01000306, Barnet 036C,1696
E01000307, Barnet 039D,1655
E01000308, Barnet 036D,1516
E01000309, Barnet 031D,1822
E01000310, Barnet 034C,2029
E01000311, Barnet 034D,1632
E01000312, Barnet 036E,1672
E01000313, Barnet 036F,1858
E01000314, Barnet 032F,1865
E01000315, Barnet 022F,1715
E01000316, Barnet 027E,2312
E01000317, Barnet 019D,1613
E01000318, Barnet 019E,1840
E01000319, Barnet 027F,1500
E01000320, Barnet 011D,1475
E01000321, Barnet 012E,1635
E01000322, Barnet 011E,1717
E01000323, Barnet 019F,1982
E01000324, Barnet 015F,1786
E01000325, Bexley 014A,1610
E01000326, Bexley 014B,1295
E01000327, Bexley 017A,1543
E01000328, Bexley 017B,1480
E01000329, Bexley 017C,1316
E01000330, Bexley 017D,1544
E01000331, Bexley 017E,1630
E01000332, Bexley 005A,1529
E01000333, Bexley 003A,1666
E01000334, Bexley 006A,1611
E01000335, Bexley 003B,1794
E01000336, Bexley 003C,1886
E01000337, Bexley 003D,1653
E01000338, Bexley 003E,1751
E01000339, Bexley 025A,1530
E01000340, Bexley 018A,1502
E01000341, Bexley 022A,1490
E01000342, Bexley 022B,1595
E01000343, Bexley 022C,1535
E01000344, Bexley 025B,1609
E01000345, Bexley 022D,1355
E01000346, Bexley 021A,1622
E01000347, Bexley 021B,1486
E01000348, Bexley 020A,1481
E01000349, Bexley 020B,1659
E01000350, Bexley 021C,1501
E01000351, Bexley 024A,1586
E01000352, Bexley 021D,1575
E01000353, Bexley 011A,1686
E01000354, Bexley 011B,1505
E01000355, Bexley 011C,1464
E01000356, Bexley 009A,1546
E01000357, Bexley 009B,1457
E01000358, Bexley 011D,1608
E01000359, Bexley 009C,1280
E01000360, Bexley 015A,1662
E01000361, Bexley 020C,1540
