LSOA21CD,jan_2021,feb_2021,mar_2021,apr_2021,may_2021,jun_2021,jul_2021,aug_2021,sept_2021,oct_2021,nov_2021,dec_2021
E01000001,2,1,2,4,1,2,5,8,2,2,NA,NA
E01000002,NA,1,2,7,7,6,6,1,NA,NA,6,NA
E01000003,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA
E01000005,NA,1,3,3,4,3,3,5,6,4,6,2
E01000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
E01000007,5,2,1,4,4,5,3,2,5,1,2,3
E01000008,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA
E01000009,NA,2,NA,2,NA,3,NA,NA,2,1,2,4
E01000011,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA
E01000012,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
E01000013,1,2,1,NA,NA,NA,NA,1,1,NA,2,NA
E01000014,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA
E01000015,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
E01000016,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
E01000017,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
E01000019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
E01000022,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
E01000024,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
E01000025,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
E01000027,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
E01000029,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
E01000030,NA,2,NA,NA,NA,NA,NA,1,NA,NA,1,NA
E01000031,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E01000032,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
E01000033,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
E01000034,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
E01000035,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
E01000036,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1
E01000040,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA
E01000042,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
E01000043,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
E01000044,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
E01000045,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
E01000049,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA
E01000050,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA
E01000051,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA
E01000052,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
E01000053,NA,NA,NA,1,1,NA,NA,1,NA,2,NA,1
E01000054,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
E01000055,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
E01000056,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1
E01000057,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA
E01000060,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA
E01000061,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA
E01000062,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
E01000064,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
E01000065,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
E01000066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
E01000067,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
E01000068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
E01000070,NA,1,NA,1,1,1,NA,NA,1,1,NA,NA
E01000071,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
E01000072,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA
E01000073,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
E01000074,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
E01000075,NA,2,NA,1,NA,NA,1,1,NA,NA,NA,NA
E01000077,NA,1,NA,1,1,1,NA,NA,1,1,NA,NA
E01000078,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
E01000080,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
E01000081,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
E01000082,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
E01000084,2,NA,1,NA,3,NA,NA,NA,1,2,3,2
E01000085,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E01000086,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
