BoroughNames,pop2021
Barking and Dagenham,218869
Barnet,389343
Bexley,246472
Brent,339814
Bromley,329989
Camden,210135
City of London,8580
Croydon,390716
Ealing,367115
Enfield,329984
Greenwich,289071
Hackney,259146
Hammersmith and Fulham,183157
Haringey,264240
Harrow,261203
Havering,262052
Hillingdon,305909
Hounslow,288182
Islington,216587
Kensington and Chelsea,143376
Kingston upon Thames,168061
Lambeth,317651
Lewisham,300551
Merton,215187
Newham,351036
Redbridge,310259
Richmond upon Thames,195279
Southwark,307635
Sutton,209639
Tower Hamlets,310306
Waltham Forest,278424
Wandsworth,327507
Westminster,204235
