msoa21cd,pop2021
E02002483,10239
E02002484,10277
E02002485,8001
E02002489,7131
E02002490,5804
E02002491,6473
E02002492,6771
E02002493,6752
E02002494,7673
E02006909,12687
E02007059,10532
E02002496,11861
E02002497,6111
E02002498,8502
E02002499,7683
E02002500,5906
E02002501,6267
E02002502,9794
E02002503,6833
E02002504,9757
E02002505,6386
E02002506,5602
E02002507,6237
E02002508,5429
E02002509,5142
E02002510,7089
E02002512,5338
E02002513,10238
E02002514,8341
E02006811,11409
E02002515,6470
E02002516,5868
E02002517,5315
E02002518,10879
E02002519,7473
E02002520,13088
E02002521,5878
E02002523,6388
E02002524,5395
E02002525,7970
E02002526,7706
E02002527,5087
E02002529,5738
E02002530,6180
E02002532,6734
E02002533,6566
E02002534,5569
E02006812,7600
E02006910,10612
E02002535,9165
E02002536,9328
E02002537,8362
E02002538,5639
E02002539,10538
E02002540,6067
E02002541,6017
E02002542,8025
E02002543,9246
E02002544,8919
E02002545,5031
E02002546,7452
E02002547,6089
E02002549,7454
E02002550,6047
E02002551,5364
E02002552,7151
E02002553,5797
E02002554,5042
E02002555,10307
E02002556,7265
E02002558,11013
E02007060,6100
E02007061,8369
E02007062,7668
E02007063,9132
E02002559,9657
E02002560,6242
E02002561,5424
E02002562,5615
E02002563,5549
E02002564,9733
E02002567,9404
E02002568,6034
E02002569,9146
E02002570,7508
E02002571,6355
E02002572,6286
E02002573,9369
E02007058,11485
E02004290,5722
E02004291,7123
E02004292,7957
E02004293,9614
E02004294,7897
E02004295,7278
E02004296,8425
E02004297,7934
E02004298,9955
E02004299,8194
E02004300,7685
E02004301,9597
E02004302,7828
E02004303,11019
E02004304,9003
E02004305,10186
E02004306,5993
E02004307,6455
E02004308,7724
E02004309,6194
E02004310,7827
E02004311,9128
E02004312,7426
E02004313,6744
E02004314,12673
E02004315,13300
E02004316,6478
E02004317,7319
E02004318,6585
E02004319,7966
E02004320,8559
E02004321,8167
E02004322,8660
E02004323,7385
E02004324,5763
E02004325,9012
E02004326,6768
E02004327,5547
E02004328,7232
E02004329,6451
E02004330,5949
E02004331,7186
E02004332,7365
E02004333,6690
E02004334,7009
E02004335,7884
E02004336,6710
E02004337,10502
E02004338,7319
E02004339,7027
E02004340,10419
E02004341,8715
E02004342,5606
E02004343,5538
E02004344,6974
E02004345,12564
E02004348,7828
E02004349,9365
E02004350,9781
E02004351,7238
E02004352,8182
E02004353,7207
E02004354,9085
E02004355,7038
E02007022,12145
E02005702,6694
E02005703,6804
E02005704,12644
E02005705,7596
E02005706,9195
E02005707,7029
E02005708,10022
E02005709,6850
E02005710,9379
E02005711,7818
E02005712,9404
E02005713,6273
E02005715,9260
E02005717,7375
E02005718,6269
E02005719,8153
E02005720,12139
E02005721,5445
E02005722,9476
E02005723,6032
E02005724,6632
