msoa21cd,msoa_theft
E02000001,725
E02000003,11
E02000005,8
E02000008,9
E02000009,19
E02000011,7
E02000013,13
E02000014,27
E02000015,20
E02000016,181
E02000019,12
E02000020,16
E02000021,16
E02000023,8
E02000028,3
E02000033,5
E02000034,6
E02000040,6
E02000041,87
E02000042,43
E02000047,29
E02006953,11.25
E02006954,11.750000000000004
E02000055,13
E02000056,8
E02000058,8
E02000064,7
E02000066,4
E02000067,8
E02000072,4
E02000079,86
E02000090,6
E02000093,8
E02000095,28
E02000100,8
E02000101,19
E02000103,10
E02000106,9
E02000107,32
E02006955,56.00000000000009
E02000111,18
E02000112,126
E02000113,14
E02000114,15
E02000116,19
E02000117,13
E02000118,30
E02000119,10
E02000120,60
E02000123,47
E02000124,53
E02000125,26
E02000132,12
E02000135,8
E02000144,186
E02000145,2
E02000159,9
E02000162,4
E02000167,18
E02000168,33
E02000169,9
E02000172,23
E02000173,89
E02000174,24
E02000175,64
E02000176,53
E02000178,21
E02000179,36
E02000180,35
E02000181,22
E02000182,64
E02000183,90
E02000184,102
E02000185,92
E02000186,298
E02000187,183
E02000188,112
E02007115,249
E02000191,561
E02000192,73
E02000193,664
E02000200,11
E02000203,11
E02000204,12
E02000206,8
E02000208,13
E02000213,133.9999999999996
E02000214,2
E02000217,125.9999999999994
E02000223,3
E02000224,2
E02000225,3
E02000230,11
E02000240,8
E02000241,9
E02000243,15
E02000247,2
E02000251,6
E02000252,29
E02000260,49
E02000261,8
E02000262,28
E02000263,19
E02000264,15
E02000265,27
E02000266,11
E02000267,6
E02000271,2
E02006970,6
E02000278,11
E02000279,4
E02000282,22
E02000284,49
E02000288,48
E02000289,3
E02000290,9
E02000291,62
E02000293,47
E02000296,15
E02000299,11
E02000303,26
E02000306,122
E02000309,69
E02000311,12
E02000312,10
E02006793,21
E02006991,26
E02000318,12
E02000319,6
E02000320,4
E02000326,3
E02000327,7
E02000340,22
E02000343,2
E02006928,31.999999999999986
E02006992,28.999999999999968
E02006931,49
E02000345,41
E02000346,74
E02000348,12
E02000350,16
E02000351,60
E02000352,75
E02000353,55
E02000354,42
E02000355,44
E02000356,43
E02000357,11
E02000359,19
E02000360,32
E02000361,149
E02000362,55
E02000363,71
E02000364,128
E02007109,187
E02007108,186
E02000366,73
E02000367,232
E02000368,108
E02000369,168
E02000370,125
E02007110,179
E02007111,615
E02006921,12
E02000372,19
E02000375,233
E02000376,20
E02000378,22
E02000380,7
E02000382,15
E02000384,147
E02000387,7
E02000388,38
E02000390,5
E02000392,24
E02000393,4
E02000397,14
E02000400,20
E02000401,11
E02000403,53
E02000404,11
E02000408,62
E02000410,16
E02000411,31
E02000412,347
E02000414,6
E02000415,30
E02000416,18
E02000419,30
E02000420,47
E02000421,84
E02000422,20
E02000423,29
E02000425,12
E02000426,15
E02000427,129
E02000428,35
E02000430,22
E02006794,68
E02000433,16
E02000435,4
E02000437,12
E02000438,6
E02000439,9
E02000442,4
E02000445,20
E02000448,25
E02000452,68
E02000455,194
E02000461,4
E02000467,9
E02000470,8
E02000476,218
E02000482,5
E02000486,3
E02000489,2
E02000497,4
E02000507,5
E02000509,124
E02000515,17
E02000521,1
E02000523,14
E02000524,30
E02006972,3.0000000000000004
E02000531,7
E02000538,9
E02000539,6
E02000540,30
E02000541,11
E02000542,57
E02000543,172
E02000546,5
E02000549,6
E02000550,18
E02006792,14
E02000555,22
E02000556,68
E02000557,74
E02000558,140
E02000559,135
E02000560,121
E02000561,19
E02000562,79
E02000563,24
E02000564,98
E02000565,87
E02000566,186
E02000567,136
E02000568,73
E02000569,128
E02000570,65
E02000571,90
E02000572,62
E02000573,284
E02000574,109
E02000575,236
E02000576,283
E02000577,41
E02000578,4
E02000579,8
E02000583,30
E02000584,103
E02000586,83
E02000587,26
E02000588,184
E02000590,53
E02000591,19
E02000592,31
E02000594,186
E02000597,8
E02000604,18
E02000605,1
E02000606,334
E02000608,13
E02000613,2
E02000620,54
E02000621,95.99999999999996
E02000622,24
E02000624,22
