ward code,ward name,local authority code,local authority name,All usual residents,White British,White Irish,White Gypsy/Irish Traveller,,White Other,Mixed White and Asian,Mixed White and Black African,Mixed White and Black Caribbean,Mixed Other,Asian Bangladeshi,Asian Chinese,Asian Indian,Asian Pakistani,Asian Other,Black African,Black Caribbean,Black Other,Other Arab,Other Any other
E09000001,City of London (aggregated),E09000001,City of London,7375,4243,180,3,,1373,111,37,38,103,232,263,216,16,213,98,46,49,69,85
E05014053,Abbey,E09000002,Barking and Dagenham,3325,496,25,4,,494,35,50,26,35,144,104,701,315,161,503,81,40,23,89
E05014054,Alibon,E09000002,Barking and Dagenham,8926,5156,79,3,,700,54,94,86,62,273,71,173,104,230,1455,206,94,31,55
E05014055,Barking Riverside,E09000002,Barking and Dagenham,5793,1961,26,10,,432,35,91,96,82,298,45,157,167,183,1684,236,174,30,88
E05014056,Beam,E09000002,Barking and Dagenham,7654,3576,137,0,,730,31,98,107,60,187,43,247,93,123,1598,271,191,22,139
E05014057,Becontree,E09000002,Barking and Dagenham,8556,4215,89,5,,594,60,105,144,70,318,56,411,521,283,1116,312,113,34,110
E05014058,Chadwell Heath,E09000002,Barking and Dagenham,11555,6220,142,4,,668,83,163,178,122,400,77,634,466,338,1083,563,204,51,157
E05014059,Eastbrook & Rush Green,E09000002,Barking and Dagenham,8018,5908,99,29,,322,54,39,81,79,68,51,74,69,153,736,155,61,13,28
E05014060,Eastbury,E09000002,Barking and Dagenham,14612,7095,86,9,,1411,103,181,231,153,631,82,382,563,384,2407,361,288,105,140
E05014061,Gascoigne,E09000002,Barking and Dagenham,11266,2968,55,11,,1467,76,249,153,151,444,157,485,712,361,3015,283,340,175,163
E05014062,Goresbrook,E09000002,Barking and Dagenham,12418,7201,121,7,,974,80,119,223,79,289,75,175,149,263,2120,244,188,44,67
E05014063,Heath,E09000002,Barking and Dagenham,7951,4649,84,8,,496,31,69,123,55,153,45,72,82,172,1552,170,144,32,16
E05014064,Longbridge,E09000002,Barking and Dagenham,11478,4016,104,4,,766,100,81,118,161,2011,94,1036,1242,414,681,317,94,87,152
E05014065,Mayesbrook,E09000002,Barking and Dagenham,10985,6440,88,4,,861,64,109,212,106,283,75,222,241,266,1521,209,174,39,71
E05014066,Northbury,E09000002,Barking and Dagenham,10647,1802,57,27,,1122,93,164,93,143,768,78,1162,2021,580,1659,332,249,96,200
E05014067,Parsloes,E09000002,Barking and Dagenham,13396,8373,121,11,,959,89,117,183,101,272,64,163,187,245,1902,284,196,41,90
E05014068,Thames View,E09000002,Barking and Dagenham,3862,1586,24,13,,272,14,59,52,45,233,9,97,123,149,852,145,108,31,48
E05014069,Valence,E09000002,Barking and Dagenham,13406,8273,124,16,,851,78,127,226,110,324,48,352,425,271,1479,349,193,44,115
E05014070,Village,E09000002,Barking and Dagenham,11536,6729,120,7,,736,70,136,172,106,215,70,154,87,209,2146,231,217,50,82
E05014071,Whalebone,E09000002,Barking and Dagenham,10527,5287,148,10,,671,95,76,164,116,390,71,740,440,348,1176,479,160,24,131
E05013628,Barnet Vale,E09000003,Barnet,16112,10057,465,0,,1887,226,96,174,205,82,284,820,130,551,421,162,90,91,370
